sex,length (mm),diameter (mm),height (mm),whole_weight (g),shucked_weight (g),viscera_weight (g),shell_weight (g),rings
I,72.0,52.0,18.0,35.7,12.9,7.4,15.0,7
I,63.0,42.0,12.0,25.0,12.0,7.5,7.0,5
I,63.0,49.0,17.0,28.7,10.6,9.5,10.0,8
I,45.0,32.0,9.0,9.3,5.0,3.0,3.0,4
M,116.0,95.0,30.0,194.0,77.0,43.3,70.0,11
M,114.0,96.0,36.0,187.9,79.8,40.0,59.0,14
M,128.0,102.0,35.0,273.6,103.0,53.2,114.0,21
F,112.0,90.0,32.0,204.7,85.8,53.6,60.0,10
F,124.0,95.0,35.0,203.3,87.1,42.8,65.0,10
F,129.0,102.0,40.0,313.5,124.2,73.4,92.0,12
M,124.0,98.0,38.0,243.6,109.1,59.3,71.0,13
F,126.0,96.0,30.0,210.5,78.4,67.2,57.0,12
F,126.0,100.0,37.0,276.6,108.0,66.3,76.0,10
F,126.0,96.0,32.0,239.8,105.3,67.0,63.0,11
F,117.0,92.0,34.0,186.5,73.0,54.2,58.0,9
M,123.0,96.0,36.0,231.9,96.9,43.3,65.0,13
M,122.0,97.0,34.0,204.5,83.8,48.1,72.0,12
M,116.0,90.0,30.0,185.4,55.2,36.3,72.0,14
I,71.0,55.0,17.0,44.0,18.4,12.0,30.0,8
F,102.0,80.0,28.0,162.9,91.8,39.3,39.0,10
M,100.0,81.0,31.0,154.4,69.2,30.7,49.0,12
F,101.0,82.0,30.0,128.8,57.0,29.0,42.0,11
M,128.0,100.0,37.0,260.7,88.9,52.7,93.0,16
M,112.0,90.0,32.0,184.4,86.4,35.6,52.0,15
M,117.0,92.0,37.0,184.4,72.7,42.6,57.0,10
F,90.0,69.0,24.0,83.3,33.1,19.0,27.0,9
M,100.0,80.0,33.0,165.0,50.8,41.0,57.0,13
F,100.0,80.0,29.0,126.0,46.8,29.3,46.0,12
F,106.0,87.0,34.0,163.1,59.7,31.0,55.0,13
M,84.0,67.0,23.0,73.8,34.2,14.2,24.0,8
F,88.0,68.0,28.0,96.4,37.2,21.7,32.0,9
I,80.0,60.0,22.0,63.0,21.8,13.4,24.0,9
I,87.0,68.0,22.0,75.9,29.9,17.0,24.0,8
F,105.0,83.0,34.0,166.5,55.1,33.7,62.0,13
I,74.0,56.0,19.0,53.1,24.4,10.4,16.0,7
F,98.0,73.0,29.0,126.9,39.9,32.5,44.0,10
M,67.0,50.0,18.0,36.2,15.1,8.3,12.0,7
F,83.0,65.0,21.0,76.0,31.9,15.7,24.0,12
M,100.0,81.0,28.0,123.1,48.2,27.1,41.0,9
F,97.0,79.0,32.0,132.0,49.5,25.6,47.0,14
M,110.0,81.0,28.0,160.5,48.8,32.7,51.0,10
M,90.0,70.0,26.0,92.0,34.8,22.2,27.0,8
I,81.0,60.0,24.0,64.8,25.3,14.0,22.0,7
M,94.0,72.0,27.0,100.2,33.3,23.0,33.0,10
F,83.0,61.0,26.0,64.0,26.1,15.1,21.0,8
F,89.0,65.0,25.0,91.0,35.7,22.5,28.0,9
F,94.0,70.0,29.0,103.5,37.4,24.7,36.0,11
F,98.0,75.0,30.0,115.1,44.0,28.8,38.0,9
F,89.0,71.0,30.0,97.0,36.2,25.0,31.0,11
I,85.0,76.0,21.0,65.3,25.7,15.7,20.0,10
F,100.0,74.0,27.0,90.0,34.3,21.1,31.0,9
F,78.0,58.0,25.0,61.1,24.2,16.4,18.0,7
I,73.0,54.0,17.0,41.0,15.6,9.7,14.0,7
F,116.0,93.0,33.0,220.3,80.8,41.9,70.0,11
F,106.0,83.0,32.0,156.6,58.7,31.6,49.0,15
M,111.0,89.0,27.0,167.2,67.2,32.5,55.0,13
M,113.0,88.0,35.0,180.5,62.0,38.6,65.0,14
M,125.0,101.0,43.0,289.1,99.2,57.4,87.0,22
I,55.0,43.0,15.0,23.1,9.7,5.8,7.0,7
I,88.0,70.0,27.0,87.0,36.3,16.6,25.0,12
I,59.0,45.0,16.0,24.8,9.7,6.4,8.0,9
I,15.0,11.0,2.0,0.4,0.2,0.1,0.3,1
I,26.0,20.0,6.0,2.6,0.9,0.6,0.8,3
I,22.0,18.0,6.0,1.6,0.5,0.4,0.6,3
I,32.0,24.0,7.0,4.2,1.5,0.9,1.0,5
M,113.0,85.0,32.0,188.5,69.9,43.7,55.0,17
I,54.0,40.0,14.0,20.0,6.8,4.9,7.0,5
I,46.0,35.0,13.0,12.9,5.2,2.1,4.0,5
I,60.0,46.0,16.0,25.5,8.7,5.3,8.0,8
I,66.0,51.0,17.0,33.1,12.6,7.8,12.0,8
I,70.0,52.0,17.0,34.8,14.1,6.9,12.0,10
I,64.0,49.0,16.0,31.7,12.7,6.5,10.0,13
I,72.0,55.0,17.0,39.5,14.9,8.3,14.0,9
I,61.0,49.0,15.0,31.2,13.5,7.6,9.0,7
I,69.0,54.0,22.0,42.7,16.4,10.9,14.0,7
I,66.0,50.0,21.0,34.3,13.1,7.0,12.0,7
M,118.0,94.0,36.0,224.7,84.1,56.1,72.0,13
F,119.0,91.0,31.0,212.1,102.7,43.3,60.0,12
F,115.0,92.0,37.0,218.8,89.7,43.4,69.0,15
M,120.0,99.0,33.0,248.3,97.0,55.5,68.0,15
M,112.0,90.0,35.0,202.2,76.7,41.3,74.0,15
M,112.0,90.0,37.0,214.0,76.1,35.0,82.0,19
M,109.0,92.0,32.0,179.5,68.2,33.1,69.0,10
F,127.0,101.0,34.0,283.0,121.0,59.4,73.0,15
F,118.0,95.0,32.0,220.3,95.5,51.1,59.0,13
F,108.0,95.0,31.0,185.6,78.8,38.8,52.0,11
F,114.0,88.0,25.0,173.0,73.5,34.5,54.0,12
M,106.0,84.0,33.0,178.9,63.8,47.8,49.0,11
I,49.0,39.0,12.0,19.0,8.9,4.9,5.2,4
M,54.0,40.0,16.0,24.1,9.3,5.6,8.0,6
F,92.0,76.0,26.0,127.8,60.0,30.5,32.0,11
M,104.0,90.0,30.0,179.0,72.3,37.2,47.0,14
M,70.0,55.0,22.0,58.5,24.5,12.7,18.1,8
M,94.0,78.0,30.0,127.1,43.7,17.7,51.0,9
F,90.0,72.0,25.0,99.9,40.7,20.0,34.0,13
F,128.0,105.0,43.0,355.8,90.7,57.1,110.0,22
M,118.0,100.0,40.0,237.4,82.4,54.1,74.0,16
M,124.0,97.0,41.0,243.8,77.5,50.1,77.0,14
M,126.0,101.0,45.0,305.0,112.0,66.7,90.0,15
M,126.0,103.0,31.0,251.8,82.1,39.4,82.0,13
M,131.0,108.0,43.0,368.8,148.5,65.4,117.0,22
F,132.0,106.0,37.0,269.7,98.6,49.0,98.0,12
M,122.0,100.0,48.0,328.4,106.4,66.9,138.0,18
M,127.0,105.0,41.0,296.8,110.0,62.3,86.0,20
F,103.0,85.0,27.0,142.4,53.3,32.1,50.0,11
F,107.0,83.0,37.0,168.3,62.8,31.7,60.0,15
I,72.0,57.0,21.0,48.3,18.3,11.4,15.0,7
F,91.0,71.0,24.0,89.9,35.4,20.8,30.0,9
M,97.0,79.0,28.0,125.9,45.7,25.4,45.0,14
M,103.0,76.0,35.0,191.3,65.0,31.6,62.0,14
F,107.0,83.0,34.0,175.8,59.0,39.3,57.0,10
M,106.0,87.0,31.0,139.8,57.6,31.9,41.0,10
F,99.0,80.0,31.0,128.9,48.4,26.5,41.0,17
M,88.0,71.0,25.0,95.5,26.4,16.3,38.0,9
F,107.0,87.0,32.0,162.1,63.1,35.9,48.0,10
M,108.0,87.0,36.0,199.2,76.7,45.2,65.0,17
F,113.0,101.0,42.0,255.3,100.2,55.8,71.0,12
M,122.0,95.0,33.0,223.2,85.6,44.1,63.0,15
F,113.0,91.0,35.0,202.6,68.4,41.4,70.0,19
M,120.0,99.0,39.0,211.5,76.8,38.0,75.0,26
I,59.0,43.0,17.0,25.6,9.8,6.8,8.0,6
I,55.0,41.0,15.0,22.1,9.0,5.7,7.0,6
I,56.0,42.0,17.0,21.3,7.8,5.9,6.0,4
M,98.0,79.0,28.0,109.8,44.3,25.5,30.0,11
M,74.0,56.0,21.0,46.8,18.1,11.7,15.0,9
F,81.0,61.0,19.0,69.7,29.1,17.9,20.0,9
F,108.0,87.0,35.0,178.4,64.4,34.8,67.0,13
M,74.0,56.0,20.0,50.4,21.3,11.9,14.8,8
M,72.0,54.0,20.0,43.4,17.7,9.9,14.3,6
F,94.0,72.0,26.0,94.4,36.4,22.8,30.0,10
I,40.0,29.0,12.0,7.4,2.5,1.9,2.2,4
I,33.0,24.0,6.0,4.3,1.4,1.0,1.0,3
M,129.0,103.0,48.0,308.3,94.2,73.8,107.0,13
M,110.0,82.0,25.0,152.1,50.1,32.7,39.0,14
M,114.0,87.0,29.0,181.1,78.5,47.1,55.0,10
F,126.0,97.0,38.0,248.7,92.7,61.1,78.0,21
M,112.0,88.0,28.0,194.2,88.6,40.9,53.0,14
M,119.0,91.0,39.0,266.1,91.9,64.7,69.0,19
F,124.0,94.0,40.0,245.1,76.2,54.0,87.0,23
M,126.0,97.0,35.0,260.0,86.7,58.9,92.0,23
I,90.0,71.0,22.0,91.7,38.8,13.4,28.0,8
F,127.0,107.0,38.0,248.4,115.2,49.5,78.0,14
M,90.0,70.0,20.0,73.5,29.3,20.3,24.0,10
F,116.0,91.0,31.0,167.3,63.0,27.7,64.0,18
I,66.0,51.0,19.0,34.4,13.2,5.1,12.0,6
I,53.0,42.0,12.0,19.3,8.5,4.4,6.0,5
I,38.0,29.0,8.0,7.6,3.3,1.3,3.0,4
M,77.0,62.0,20.0,56.9,21.3,15.0,20.0,11
I,53.0,41.0,14.0,21.1,7.8,8.2,7.0,5
M,67.0,53.0,21.0,44.4,18.7,11.2,15.0,7
I,71.0,55.0,18.0,50.2,19.4,10.6,16.0,7
I,64.0,51.0,20.0,35.1,14.6,8.3,13.0,7
M,102.0,80.0,26.0,128.7,54.0,33.3,41.0,12
M,72.0,59.0,21.0,48.2,17.3,10.6,19.0,8
I,72.0,56.0,18.0,45.1,17.7,8.0,18.0,8
M,100.0,76.0,31.0,119.1,42.7,32.2,40.0,12
F,80.0,65.0,24.0,63.7,26.8,11.3,19.0,8
I,60.0,44.0,16.0,24.2,9.5,8.4,7.0,5
I,47.0,35.0,8.0,14.1,6.7,3.0,4.0,5
F,148.0,120.0,39.0,394.8,119.6,81.7,142.0,16
M,124.0,93.0,38.0,268.3,114.1,63.5,71.0,11
M,120.0,95.0,38.0,217.5,80.6,53.1,65.0,14
M,118.0,90.0,37.0,256.6,94.6,55.2,85.0,16
M,124.0,95.0,37.0,265.0,120.9,65.0,66.0,13
F,113.0,90.0,39.0,200.7,81.2,50.1,57.0,15
M,115.0,91.0,29.0,233.0,116.2,45.5,60.0,14
F,124.0,102.0,41.0,269.5,95.5,51.3,96.0,14
M,124.0,93.0,37.0,254.8,115.8,61.3,64.0,12
F,101.0,75.0,36.0,113.6,46.5,29.9,34.0,12
F,92.0,85.0,31.0,149.2,60.1,30.4,48.0,8
M,98.0,78.0,28.0,141.4,55.9,43.7,36.0,13
F,105.0,84.0,32.0,151.2,54.9,34.6,55.0,9
I,68.0,52.0,16.0,40.0,16.0,11.1,11.0,6
I,75.0,61.0,23.0,54.3,18.4,14.8,18.0,8
M,122.0,96.0,30.0,240.0,112.0,49.1,56.0,14
F,122.0,99.0,37.0,230.6,107.2,58.1,49.0,8
F,117.0,90.0,34.0,173.7,66.5,32.7,54.0,22
M,114.0,92.0,28.0,190.7,89.3,41.3,49.0,12
M,116.0,91.0,34.0,186.0,81.6,51.8,44.0,9
M,127.0,103.0,34.0,255.0,101.8,57.2,68.0,16
M,140.0,116.0,41.0,426.0,148.3,98.0,116.0,20
M,135.0,105.0,37.0,317.4,138.7,67.2,79.0,13
F,129.0,105.0,38.0,361.7,140.7,77.7,79.0,18
M,149.0,117.0,43.0,499.8,185.3,94.4,140.0,17
F,137.0,109.0,36.0,353.6,149.9,78.4,97.0,16
M,121.0,98.0,36.0,245.4,96.0,57.4,70.0,18
F,118.0,93.0,30.0,199.4,78.4,49.2,68.0,12
F,130.0,105.0,35.0,284.5,122.0,59.9,89.0,20
F,120.0,96.0,30.0,205.8,81.7,54.1,59.0,16
F,124.0,100.0,35.0,237.2,99.7,60.3,70.0,12
M,126.0,103.0,32.0,203.2,84.3,48.8,71.0,19
M,116.0,93.0,29.0,177.4,88.1,33.1,53.0,11
F,116.0,91.0,24.0,214.7,95.8,54.7,53.0,10
M,126.0,98.0,36.0,226.0,91.6,55.3,63.0,12
F,138.0,112.0,43.0,343.8,136.0,59.8,94.0,17
F,130.0,109.0,33.0,313.2,132.9,69.1,83.0,16
F,132.0,113.0,39.0,352.1,138.4,65.3,100.0,16
F,136.0,116.0,40.0,357.4,117.0,90.6,120.0,19
F,140.0,115.0,34.0,262.0,101.9,62.8,84.0,14
M,137.0,104.0,30.0,268.6,92.7,58.4,80.0,13
F,135.0,109.0,39.0,346.9,136.9,73.9,121.0,20
M,126.0,98.0,38.0,235.5,98.7,67.3,57.0,11
F,117.0,90.0,32.0,215.4,99.9,57.5,50.0,10
M,113.0,93.0,35.0,199.0,77.9,36.6,74.0,15
F,122.0,99.0,37.0,221.7,74.1,62.7,66.0,12
M,121.0,94.0,36.0,228.1,75.1,56.1,77.0,15
M,107.0,84.0,29.0,158.2,66.0,37.8,50.0,10
M,97.0,80.0,27.0,132.6,62.6,27.4,40.0,10
M,94.0,75.0,24.0,111.3,45.2,24.4,39.0,12
M,109.0,85.0,27.0,168.9,74.6,42.0,47.0,10
F,91.0,74.0,21.0,98.5,43.2,24.9,27.0,9
M,108.0,84.0,31.0,147.7,70.3,30.4,43.0,12
M,92.0,76.0,27.0,96.4,41.4,24.5,29.0,10
M,98.0,84.0,25.0,121.8,47.8,28.7,44.0,14
I,93.0,75.0,24.0,94.2,44.4,23.8,28.0,9
I,83.0,65.0,20.0,64.3,30.7,11.9,21.0,10
M,95.0,75.0,25.0,118.6,55.4,23.0,36.0,10
F,94.0,75.0,25.0,112.3,50.4,27.4,36.0,10
I,73.0,59.0,19.0,50.0,21.5,10.9,16.0,9
I,69.0,55.0,19.0,39.9,15.1,10.7,14.0,6
I,78.0,62.0,20.0,60.4,23.2,12.8,23.0,11
F,100.0,79.0,28.0,143.1,63.3,35.2,48.0,10
M,94.0,76.0,29.0,117.3,47.7,28.8,37.0,8
M,107.0,88.0,30.0,135.3,51.2,27.8,52.0,12
M,117.0,91.0,30.0,197.4,87.1,41.5,62.0,11
F,97.0,73.0,24.0,117.7,54.0,26.2,35.0,9
M,103.0,91.0,27.0,144.5,59.0,32.5,47.0,9
F,87.0,65.0,22.0,86.7,35.6,19.7,31.0,7
F,103.0,83.0,28.0,138.7,62.3,30.4,40.0,10
I,88.0,69.0,24.0,73.0,33.1,16.6,22.0,7
F,105.0,88.0,30.0,168.5,73.7,39.7,48.0,12
M,90.0,71.0,23.0,95.8,42.5,20.9,30.0,8
M,118.0,97.0,24.0,182.2,78.0,36.4,58.0,16
M,111.0,90.0,29.0,183.0,80.0,49.2,57.0,11
M,114.0,88.0,19.0,165.4,67.9,44.3,47.0,8
M,118.0,100.0,33.0,220.9,91.3,48.5,68.0,15
M,117.0,95.0,24.0,189.0,82.0,42.3,56.0,14
F,116.0,92.0,24.0,198.7,92.5,47.7,56.0,11
M,109.0,88.0,24.0,171.3,69.5,34.3,48.0,12
F,121.0,99.0,34.0,247.7,105.6,49.3,78.0,14
F,124.0,94.0,28.0,206.5,72.1,44.8,72.0,15
F,126.0,100.0,34.0,262.7,111.9,53.4,80.0,20
M,126.0,103.0,33.0,270.4,97.6,69.8,90.0,20
F,126.0,100.0,31.0,201.0,73.4,39.8,72.0,16
M,109.0,82.0,28.0,125.0,44.6,32.0,47.0,13
F,134.0,108.0,33.0,300.3,103.6,71.6,101.0,14
I,98.0,76.0,24.0,105.8,43.3,27.8,31.0,11
F,98.0,78.0,27.0,115.7,49.3,24.6,40.0,13
I,58.0,45.0,14.0,20.2,7.2,4.7,7.0,8
I,52.0,40.0,14.0,18.4,7.4,4.0,6.0,6
M,116.0,90.0,35.0,213.6,85.0,40.6,64.0,13
F,122.0,97.0,33.0,218.3,78.7,48.7,66.0,18
M,120.0,100.0,32.0,203.0,79.9,34.7,66.0,19
F,112.0,91.0,25.0,188.6,68.8,25.8,75.0,21
F,115.0,90.0,34.0,209.5,75.5,34.1,77.0,18
F,114.0,90.0,35.0,191.1,76.0,33.3,59.0,18
M,120.0,94.0,31.0,207.2,87.5,39.2,65.0,20
M,113.0,91.0,34.0,181.3,68.4,31.2,64.0,18
